업종,시설명(업소),주소,흡연실 개소수,위도,경도
게임업소,노리터원,서울특별시 중랑구 중화동 311-3번지,1,37.6024428581958,127.077420511119
게임업소,Kim PC,서울특별시 중랑구 면목동 177-43번지,1,37.5868096376845,127.078010387535
게임업소,대박PC,서울특별시 중랑구 면목동 456-27번지,1,37.5822664438369,127.089952544893
게임업소,바닐라킹PC,서울특별시 중랑구 중화동 311-9번지,1,37.601692372529,127.077497984555
게임업소,에이스PC,서울특별시 중랑구 상봉동 130-108번지,1,37.5929233250296,127.075226666896
게임업소,고니PC,서울특별시 중랑구 망우동 464-27번지,1,37.5965001467684,127.099377618779
게임업소,바닐라pc방,서울특별시 중랑구 묵동 239-154번지,1,37.6118557327835,127.076781861622
게임업소,바닐라PC,서울특별시 중랑구 망우동 466-1번지,1,37.5989496413357,127.10015826355
게임업소,골드PC방,서울특별시 중랑구 면목동 72-1번지,1,37.5894703364422,127.093425214041
게임업소,바닐라PC방,서울특별시 중랑구 면목동 134-14번지,1,37.5915684362578,127.082087939339
게임업소,브라보PC 태릉점,서울특별시 중랑구 묵동 235-17번지,1,37.6141331213338,127.075165233085
게임업소,라스베가스 PC방,서울특별시 중랑구 망우동 523-66번지,1,37.5907275889712,127.093755709215
게임업소,인디고 PC,서울특별시 중랑구 신내동 797번지,1,37.6060544878653,127.097141297689
게임업소,비원 PC방,서울특별시 중랑구 면목동 458-1번지,1,37.5834191475225,127.088678331057
게임업소,아이비스 PC,서울특별시 중랑구 상봉동 125-68번지,1,37.5919609929124,127.08196619685
게임업소,월드 PC방,서울특별시 중랑구 면목동 44-17번지,1,37.5875468977587,127.094557180196
게임업소,칸 PC방,서울특별시 중랑구 면목동 14-26번지,1,37.5889645415036,127.097628477521
게임업소,골드PC,서울특별시 중랑구 상봉동 130-56번지,1,37.5922734356684,127.075655830307
게임업소,맥스피드PC방,서울특별시 중랑구 신내동 613-15번지,1,37.6075511944054,127.096282640562
게임업소,중랑 MEGA VR,서울특별시 중랑구 망우동 495번지,1,37.597668127547,127.094406811956
게임업소,메이드PC,서울특별시 중랑구 망우동 488-16번지,1,37.5999315895509,127.098494489172
게임업소,진PC,서울특별시 중랑구 면목동 161-8번지,1,37.5842743615565,127.080518667535
게임업소,아이센스PC 면목점,서울특별시 중랑구 면목동 455-19번지,1,37.5822903953628,127.090561211875
게임업소,KAMJA PC CAFE(감자PC방),서울특별시 중랑구 중화동 302-81번지,1,37.5989586946112,127.078426201806
게임업소,우림pc,서울특별시 중랑구 망우동 469-36번지,1,37.598658828702,127.098412298643
게임업소,에이스PC,서울특별시 중랑구 면목동 715번지,1,37.5728763501551,127.080633631046
